"Subject" "List" "Date" "Time" "Run" "Trial" "condition" "delaycondition" "Target" "WordPresentationOnset" "MathRespOnset" "RecallwordOnset" "Recallword.ACC" "finalrecall" "finalrecognition" "syllables" "living" "PC1" "PC2" "PC1fac" "PC2fac" "MDSF1" "MDSF2" "MDSF3"
109 "WMLOP_List3" "06/04/2012" "1:28:33PM" 4 82 "shallow" "rehearse" "statue" 230345 241645 243645 1 0 1 2 FALSE 0.222757436518593 1.00049559337476 "high" "high" 0.435931493290036 -0.118828803863149 0.242543139632929
109 "WMLOP_List3" "06/04/2012" "1:28:33PM" 4 83 "deep" "hardmathtrialproc" "woman" 255735 267035 269035 1 1 1 2 TRUE -0.0914719588411474 2.32459092529973 "low" "high" -0.0886696499349889 0.132733518571339 0.0629493059908919
109 "WMLOP_List3" "06/04/2012" "1:28:33PM" 4 84 "shallow" "easymathtrialproc" "panda" 278075 289375 291375 1 0 1 2 TRUE -0.44993127876789 0.562116039258676 "low" "high" -0.551365958962961 -0.192406549804961 0.0773924738022431
109 "WMLOP_List3" "06/04/2012" "1:28:33PM" 4 85 "deep" "easymathtrialproc" "clock" 301465 312765 314765 1 0 1 1 FALSE -1.71968221936007 0.0759327666582 "low" "low" 0.34533676012364 -0.439137918640678 -0.201953641277321
109 "WMLOP_List3" "06/04/2012" "1:28:33PM" 4 86 "deep" "rehearse" "alligator" 325855 337155 339155 1 1 1 4 TRUE 2.93295930731257 -2.99909619569419 "high" "low" -0.337106114082448 0.0135110628017024 0.276052017818557
109 "WMLOP_List3" "06/04/2012" "1:28:33PM" 4 87 "shallow" "rehearse" "waiter" 349245 360545 362545 1 0 1 2 TRUE -0.597444570530822 -0.113551532086472 "low" "low" -0.108345607951485 0.0847679914271704 -0.0109417541966952
109 "WMLOP_List3" "06/04/2012" "1:28:33PM" 4 88 "deep" "hardmathtrialproc" "platypus" 374636 385936 387936 1 1 1 3 TRUE 2.52982933345805 0.0961818083107744 "high" "low" -0.434310755887393 -0.305050793366277 0.0635806214566837
109 "WMLOP_List3" "06/04/2012" "1:28:33PM" 4 89 "deep" "hardmathtrialproc" "stove" 396975 408275 410275 1 0 1 1 FALSE -1.68352558669845 0.73044010530448 "low" "high" 0.331209289076344 -0.245663957711807 -0.201179861527175
109 "WMLOP_List3" "06/04/2012" "1:28:33PM" 4 90 "deep" "easymathtrialproc" "doctor" 420315 431615 433615 1 0 0 2 TRUE -0.0775652712334504 0.391757404144426 "low" "high" -0.0822145026697841 0.122479189818318 0.118622475544616
109 "WMLOP_List3" "06/04/2012" "1:28:33PM" 4 91 "shallow" "rehearse" "pilot" 446706 458006 460006 1 0 1 2 TRUE -0.422199349678967 1.41765575924995 "low" "high" 0.0737728116168394 0.0042048192517912 -0.0549535397446718
