"run" "onset" "image" "lead_up" "rep_num" "fix_num" "response" "rt" "null" "face_gen" "bad" "dfixnum" "mfixnum" "fixdiff12" "fixdiff23" "fixdiff34" "fixdiff14" "rslope" "nrslope" "fixnplus1" "fixnminus1"
2 426 "F117.jpg" 0 1 12 1 1.87 0 "female" 0 0 12 0 0 0 0 0 0 NA NA
3 12 "M129.jpg" 1 1 12 1 1.81 0 "female" 0 0 12 0 0 0 0 0 0 0 NA
3 18 "F130.jpg" 1 1 12 1 1.81 0 "male" 0 0 11.6666666666667 0 0 0 0 0 0 0 NA
3 24 "F129.jpg" 1 1 10 1 1.12 1 "n/a" 0 0 11.5 0 0 0 0 0 0 3 NA
3 30 "F121.jpg" 1 1 12 1 1.54 0 "female" 0 0 10.75 0 0 0 0 0 0 0 NA
3 36 "null.jpg" 1 -1 4 3 0.83 1 "n/a" 0 0 0 0 0 0 0 0 0 NA NA
3 42 "F128.jpg" 1 1 15 2 1.24 0 "male" 0 0 15 0 0 0 0 0 0 NA NA
3 48 "M130.jpg" 1 1 10 2 0.92 0 "male" 0 0 8 0 0 0 0 0 0 -2 NA
3 54 "null.jpg" 1 -1 7 3 1.01 1 "n/a" 0 0 0 0 0 0 0 0 0 NA NA
3 60 "M128.jpg" 1 1 8 1 1.19 0 "female" 0 0 8 0 0 0 0 0 0 NA NA
3 66 "M121.jpg" 1 1 12 2 1.9 0 "female" 0 0 9.5 0 0 0 0 0 0 -4 NA
3 72 "F121.jpg" 1 2 12 1 1.11 0 "female" 0 0 10.75 0 0 0 0 0 0 -1 0
3 78 "M130.jpg" 1 2 8 2 1.13 0 "male" 0 -0.25 8 0 0 0 0 0 0 -2 -2
3 84 "M121.jpg" 1 2 8 2 1.22 0 "female" 0 -0.421052631578947 9.5 0 0 0 0 0 0 1 -4
3 90 "null.jpg" 1 -1 6 3 0.83 1 "n/a" 0 0 0 0 0 0 0 0 0 NA NA
3 96 "M129.jpg" 1 2 12 1 2.09 0 "female" 0 0 12 0 0 0 0 0 0 NA 0
3 102 "F122.jpg" 1 1 12 1 2.17 1 "n/a" 0 0 10.25 0 0 0 0 0 0 -2 NA
3 108 "F129.jpg" 1 2 13 1 0.92 0 "male" 0 0.260869565217391 11.5 0 0 0 0 0 0 NA 3
3 114 "M122.jpg" 1 1 9 1 1.15 0 "male" 0 0 8 0 0 0 0 0 0 0 NA
3 120 "F130.jpg" 1 2 12 2 2.6 0 "female" 0 0 11.6666666666667 0 0 0 0 0 0 -1 0
3 126 "null.jpg" 1 -1 2 3 1.06 1 "n/a" 0 0 0 0 0 0 0 0 0 NA NA
3 132 "F122.jpg" 1 2 10 1 1.12 0 "male" 0 -0.195121951219512 10.25 0 0 0 0 0 0 0 -2
3 138 "null.jpg" 1 -1 5 3 0.64 1 "n/a" 0 0 0 0 0 0 0 0 0 NA NA
3 144 "F130.jpg" 1 3 11 2 1.05 0 "female" 0 -0.0857142857142857 11.6666666666667 0 0 0 0 0.495054600982927 0.379128226522914 NA -1
3 150 "F123.jpg" 1 1 12 1 1.26 0 "male" 0 0 9.75 0 0 0 0 0 0 -2 NA
3 156 "M121.jpg" 1 3 9 2 0.91 0 "female" 0 0.105263157894737 9.5 0 0 0 0 0 0 0 1
3 162 "M130.jpg" 1 3 6 2 0.87 1 "n/a" 0 -0.25 8 0 0 0 0 -0.869200974017947 -0.693098158870387 NA -2
3 168 "F121.jpg" 1 3 11 1 0.84 0 "female" 0 -0.0930232558139535 10.75 0 0 0 0 0 0 -3 -1
3 174 "M122.jpg" 1 2 9 1 1.29 1 "n/a" 0 0 8 0 0 0 0 0 0 0 0
3 180 "null.jpg" 1 -1 7 3 0.75 1 "n/a" 0 0 0 0 0 0 0 0 0 NA NA
3 186 "M123.jpg" 1 1 10 1 1.04 0 "male" 0 0 9.5 0 0 0 0 0 0 0 NA
3 192 "F122.jpg" 0 3 10 1 0.77 0 "female" 0 0 10.25 0 0 0 0 0 0 -1 0
3 198 "F124.jpg" 0 1 9 2 1.45 0 "female" 0 0 7.75 0 0 0 0 0 0 1 NA
3 204 "M123.jpg" 0 2 10 1 0.92 0 "male" 0 0 9.5 0 0 0 0 0 0 0 0
3 210 "M122.jpg" 0 3 9 1 0.98 0 "male" 0 0 8 0 0 0 0 0 0 -4 0
3 216 "null.jpg" 0 -1 6 3 0.85 1 "n/a" 0 0 0 0 0 0 0 0 0 NA NA
3 222 "null.jpg" 0 -1 8 3 1.08 1 "n/a" 0 0 0 0 0 0 0 0 0 NA NA
3 228 "F123.jpg" 0 2 10 1 0.95 0 "male" 0 -0.205128205128205 9.75 0 0 0 0 0 0 -1 -2
3 234 "M124.jpg" 0 1 11 2 0.98 0 "male" 0 0 9.25 0 0 0 0 0 0 0 NA
3 240 "M121.jpg" 0 4 9 2 1.08 0 "female" 0 0 9.5 0 0 0 0 0.222203485982754 0.12663928185166 NA 0
3 246 "F121.jpg" 0 4 8 1 0.83 0 "female" 0 -0.27906976744186 10.75 0 0 0 0 -0.232548372350871 -0.0699928334601317 NA -3
3 252 "M122.jpg" 0 4 5 1 0.99 0 "female" 0 -0.5 8 0 0 0 0 -0.141598000684147 -0.207039459283502 NA -4
3 258 "null.jpg" 0 -1 9 3 0.73 1 "n/a" 0 0 0 0 0 0 0 0 0 NA NA
3 264 "F124.jpg" 0 2 10 2 0.75 0 "male" 0 0.129032258064516 7.75 0 0 0 0 0 0 -3 1
3 270 "M123.jpg" 0 3 10 1 0.79 1 "n/a" 0 0 9.5 0 0 0 0 0 0 -2 0
3 276 "F125.jpg" 0 1 12 1 1.25 0 "female" 0 0 8.66666666666667 0 0 0 0 0 0 -8 NA
3 282 "M125.jpg" 0 1 11 1 1.46 0 "male" 0 0 11 0 0 0 0 0 0 -1 NA
3 288 "M124.jpg" 0 2 11 2 1.1 1 "n/a" 0 0 9.25 0 0 0 0 0 0 -5 0
3 294 "F122.jpg" 0 4 9 1 0.94 0 "female" 0 -0.0975609756097561 10.25 0 0 0 0 0.0403970823176551 0.064565154150236 NA -1
