"Video" "Condition" "Onsettime" "OnsetDelay" "TargetTime" "run" "repnum" "MR_series" "Rating" "RT" "Slow_Load" "Onset" "constant"
"BalJazz" "Recall" 87.405 5 87.4 4 10 7 "2" "994" NA 87.405 "cons"
"RCoaster" "Recall" 95.904 4 95.9 4 10 7 "2" "1415" NA 95.904 "cons"
"Crying" "Encod" 105.152 2 105.15 4 10 7 "Video" "Video" 0 105.152 "cons"
"Diving" "Recall" 109.902 2 109.9 4 10 7 "2" "1161" NA 109.902 "cons"
"Meat" "Recall" 118.4 0 118.4 4 10 7 "1" "798" NA 118.4 "cons"
"Obama" "Encod" 127.649 -1 127.65 4 10 7 "Video" "Video" 0 127.649 "cons"
"Avalanche" "Encod" 133.148 -2 133.15 4 10 7 "Video" "Video" 0 133.148 "cons"
"Obama" "Recall" 138.647 -3 138.65 4 10 7 "2" "831" NA 138.647 "cons"
"SkateDog" "Encod" 147.896 -4 147.9 4 11 7 "Video" "Video" 0 147.896 "cons"
"Crying" "Recall" 152.645 -5 152.65 4 10 7 "2" "705" NA 152.645 "cons"
"Owl" "Encod" 161.911 11 161.9 4 11 7 "Video" "Video" 0 161.911 "cons"
"SkateDog" "Recall" 167.41 10 167.4 4 11 7 "2" "1013" NA 167.41 "cons"
"Diving" "Encod" 175.908 8 175.9 4 11 7 "Video" "Video" 0 175.908 "cons"
"Avalanche" "Recall" 181.408 8 181.4 4 10 7 "2" "943" NA 181.408 "cons"
"Crying" "Encod" 190.656 6 190.65 4 11 7 "Video" "Video" 0 190.656 "cons"
"Avalanche" "Encod" 196.155 5 196.15 4 11 7 "Video" "Video" 0 196.155 "cons"
"Meat" "Encod" 200.905 5 200.9 4 11 7 "Video" "Video" 0 200.905 "cons"
"Owl" "Recall" 205.654 4 205.65 4 11 7 "3" "889" NA 205.654 "cons"
"Obama" "Encod" 214.153 3 214.15 4 11 7 "Video" "Video" 0 214.153 "cons"
"BalJazz" "Encod" 219.652 2 219.65 4 11 7 "Video" "Video" 0 219.652 "cons"
"Crying" "Recall" 224.401 1 224.4 4 11 7 "2" "1533" NA 224.401 "cons"
"Diving" "Recall" 233.65 0 233.65 4 11 7 "2" "1429" NA 233.65 "cons"
"RCoaster" "Encod" 242.899 -1 242.9 4 11 7 "Video" "Video" 0 242.899 "cons"
"Obama" "Recall" 248.398 -2 248.4 4 11 7 "2" "1017" NA 248.398 "cons"
"Meat" "Recall" 257.646 -4 257.65 4 11 7 "3" "2072" NA 257.646 "cons"
"Coliseum" "Encod" 266.895 -5 266.9 4 11 7 "Video" "Video" 0 266.895 "cons"
"Avalanche" "Recall" 271.661 11 271.65 4 11 7 "3" "1570" NA 271.661 "cons"
"Car" "Encod" 280.16 10 280.15 4 11 7 "Video" "Video" 0 280.16 "cons"
"Crying" "Encod" 284.909 9 284.9 4 12 7 "Video" "Video" 0 284.909 "cons"
"BalJazz" "Recall" 290.408 8 290.4 4 11 7 "2" "1471" NA 290.408 "cons"
"BalJazz" "Encod" 299.657 7 299.65 4 12 7 "Video" "Video" 0 299.657 "cons"
"Diving" "Encod" 304.406 6 304.4 4 12 7 "Video" "Video" 0 304.406 "cons"
"RCoaster" "Recall" 309.905 5 309.9 4 11 7 "3" "1230" NA 309.905 "cons"
"Coliseum" "Recall" 319.154 4 319.15 4 11 7 "3" "365" NA 319.154 "cons"
"Coliseum" "Encod" 327.653 3 327.65 4 12 7 "Video" "Video" 0 327.653 "cons"
"Car" "Recall" 333.152 2 333.15 4 11 7 "2" "911" NA 333.152 "cons"
"Crying" "Recall" 341.65 0 341.65 4 12 7 "3" "948" NA 341.65 "cons"
"BalJazz" "Recall" 350.149 -1 350.15 4 12 7 "3" "2274" NA 350.149 "cons"
"RCoaster" "Encod" 358.648 -2 358.65 4 12 7 "Video" "Video" 0 358.648 "cons"
"Car" "Encod" 363.397 -3 363.4 4 12 7 "Video" "Video" 0 363.397 "cons"
"Meat" "Encod" 368.896 -4 368.9 4 12 7 "Video" "Video" 0 368.896 "cons"
"Diving" "Recall" 373.646 -4 373.65 4 12 7 "2" "1401" NA 373.646 "cons"
"SkateDog" "Encod" 382.145 -5 382.15 4 12 7 "Video" "Video" 0 382.145 "cons"
"Car" "Recall" 387.66 10 387.65 4 12 7 "1" "626" NA 387.66 "cons"
"Meat" "Recall" 396.159 9 396.15 4 12 7 "3" "784" NA 396.159 "cons"
"Owl" "Encod" 405.408 8 405.4 4 12 7 "Video" "Video" 0 405.408 "cons"
"Coliseum" "Recall" 410.907 7 410.9 4 12 7 "3" "1108" NA 410.907 "cons"
"Avalanche" "Encod" 420.155 5 420.15 4 12 7 "Video" "Video" 0 420.155 "cons"
"RCoaster" "Recall" 424.905 5 424.9 4 12 7 "3" "526" NA 424.905 "cons"
"Obama" "Encod" 433.403 3 433.4 4 12 7 "Video" "Video" 0 433.403 "cons"
"SkateDog" "Recall" 438.153 3 438.15 4 12 7 "2" "1238" NA 438.153 "cons"
"Obama" "Recall" 446.652 2 446.65 4 12 7 "3" "1179" NA 446.652 "cons"
"Owl" "Recall" 455.15 0 455.15 4 12 7 "3" "2872" NA 455.15 "cons"
"Avalanche" "Recall" 463.649 -1 463.65 4 12 7 "3" "1102" NA 463.649 "cons"
"Avalanche" "Encod" 10.898 -2 10.9 5 13 8 "Video" "Video" 0 10.898 "cons"
"BalJazz" "Encod" 15.647 -3 15.65 5 13 8 "Video" "Video" 0 15.647 "cons"
"Avalanche" "Recall" 20.397 -3 20.4 5 13 8 "3" "353" NA 20.397 "cons"
"Owl" "Encod" 28.895 -5 28.9 5 13 8 "Video" "Video" 0 28.895 "cons"
"Coliseum" "Encod" 34.395 -5 34.4 5 13 8 "Video" "Video" 0 34.395 "cons"
"Owl" "Recall" 39.16 10 39.15 5 13 8 "3" "717" NA 39.16 "cons"
"Obama" "Encod" 48.409 9 48.4 5 13 8 "Video" "Video" 0 48.409 "cons"
"BalJazz" "Recall" 53.158 8 53.15 5 13 8 "2" "1351" NA 53.158 "cons"
"Coliseum" "Recall" 62.407 7 62.4 5 13 8 "3" "759" NA 62.407 "cons"
"SkateDog" "Encod" 70.906 6 70.9 5 13 8 "Video" "Video" 0 70.906 "cons"
"Obama" "Recall" 76.405 5 76.4 5 13 8 "3" "921" NA 76.405 "cons"
"Meat" "Encod" 85.654 4 85.65 5 13 8 "Video" "Video" 0 85.654 "cons"
"Car" "Encod" 91.153 3 91.15 5 13 8 "Video" "Video" 0 91.153 "cons"
"RCoaster" "Encod" 96.652 2 96.65 5 13 8 "Video" "Video" 0 96.652 "cons"
"Diving" "Encod" 101.401 1 101.4 5 13 8 "Video" "Video" 0 101.401 "cons"
"Crying" "Encod" 106.15 0 106.15 5 13 8 "Video" "Video" 0 106.15 "cons"
"Diving" "Recall" 110.9 0 110.9 5 13 8 "2" "1090" NA 110.9 "cons"
"Car" "Recall" 120.148 -2 120.15 5 13 8 "2" "721" NA 120.148 "cons"
"SkateDog" "Recall" 129.397 -3 129.4 5 13 8 "2" "1105" NA 129.397 "cons"
"Meat" "Encod" 137.896 -4 137.9 5 14 8 "Video" "Video" 0 137.896 "cons"
"Meat" "Recall" 142.645 -5 142.65 5 13 8 "3" "801" NA 142.645 "cons"
"Coliseum" "Encod" 151.16 10 151.15 5 14 8 "Video" "Video" 0 151.16 "cons"
"Car" "Encod" 156.66 10 156.65 5 14 8 "Video" "Video" 0 156.66 "cons"
"RCoaster" "Recall" 161.409 9 161.4 5 13 8 "3" "1005" NA 161.409 "cons"
